mode,round,step,active_tokens,physical_capacity,duration_ms
max,2,40,16384,16384,41.7892150580883
max,3,10,16384,16384,43.60906779766083
max,3,11,12288,16384,42.46458783745766
max,3,12,3072,16384,41.961394250392914
max,3,13,16384,16384,46.816788613796234
max,3,14,12288,16384,42.73461923003197
max,3,15,3072,16384,40.0288924574852
max,3,16,16384,16384,43.25830191373825
max,3,17,12288,16384,42.13275760412216
max,3,18,3072,16384,40.962103754282
max,3,19,16384,16384,46.69845476746559
max,3,20,12288,16384,42.417366057634354
max,3,21,3072,16384,41.0405732691288
max,3,22,16384,16384,42.64659807085991
max,3,23,12288,16384,44.4183275103569
max,3,24,3072,16384,40.86220636963844
max,3,25,16384,16384,43.52910444140434
max,3,26,12288,16384,46.16020992398262
max,3,27,3072,16384,39.453402161598206
max,3,28,16384,16384,42.40419715642929
max,3,29,12288,16384,42.72640869021416
max,3,30,3072,16384,41.50468856096268
max,3,31,16384,16384,42.773593217134476
max,3,32,12288,16384,42.71446168422699
max,3,33,3072,16384,40.533680468797684
max,3,34,16384,16384,41.656363755464554
max,3,35,12288,16384,43.85479539632797
max,3,36,3072,16384,39.66177627444267
max,3,37,16384,16384,45.19961774349213
max,3,38,12288,16384,41.63765534758568
max,3,39,3072,16384,40.779974311590195
max,3,40,16384,16384,41.510120034217834
buckets,1,10,16384,16384,43.637119233608246
buckets,1,11,12288,12288,37.8328375518322
buckets,1,12,3072,4096,27.703139930963516
buckets,1,13,16384,16384,47.184254974126816
buckets,1,14,12288,12288,38.1481759250164
buckets,1,15,3072,4096,26.08712762594223
buckets,1,16,16384,16384,43.98326203227043
buckets,1,17,12288,12288,37.637896835803986
buckets,1,18,3072,4096,26.78232640028
buckets,1,19,16384,16384,46.95604741573334
buckets,1,20,12288,12288,37.59770467877388
buckets,1,21,3072,4096,26.953240856528282
buckets,1,22,16384,16384,42.964570224285126
buckets,1,23,12288,12288,39.98155891895294
buckets,1,24,3072,4096,26.561381295323372
buckets,1,25,16384,16384,43.992120772600174
buckets,1,26,12288,12288,41.4559468626976
buckets,1,27,3072,4096,25.12197382748127
buckets,1,28,16384,16384,42.90875419974327
buckets,1,29,12288,12288,37.52947971224785
buckets,1,30,3072,4096,27.20070071518421
buckets,1,31,16384,16384,43.205369263887405
buckets,1,32,12288,12288,38.11953589320183
buckets,1,33,3072,4096,26.34941041469574
buckets,1,34,16384,16384,41.85180366039276
buckets,1,35,12288,12288,39.51346501708031
buckets,1,36,3072,4096,25.55801346898079
buckets,1,37,16384,16384,45.033592730760574
buckets,1,38,12288,12288,37.100281566381454
buckets,1,39,3072,4096,26.62346325814724
buckets,1,40,16384,16384,42.061805725097656
buckets,2,10,16384,16384,45.996733009815216
buckets,2,11,12288,12288,37.993982434272766
buckets,2,12,3072,4096,28.09474803507328
buckets,2,13,16384,16384,47.59107157588005
buckets,2,14,12288,12288,37.88166120648384
buckets,2,15,3072,4096,25.986669585108757
buckets,2,16,16384,16384,43.42065379023552
buckets,2,17,12288,12288,37.877246737480164
buckets,2,18,3072,4096,26.901431381702423
buckets,2,19,16384,16384,46.98682576417923
buckets,2,20,12288,12288,37.935417145490646
buckets,2,21,3072,4096,26.739755645394325
buckets,2,22,16384,16384,42.974554002285004
buckets,2,23,12288,12288,39.832063019275665
buckets,2,24,3072,4096,26.472652330994606
buckets,2,25,16384,16384,44.018786400556564
buckets,2,26,12288,12288,41.31438583135605
buckets,2,27,3072,4096,25.416504591703415
buckets,2,28,16384,16384,42.97034814953804
buckets,2,29,12288,12288,38.02071511745453
buckets,2,30,3072,4096,26.735832914710045
buckets,2,31,16384,16384,43.22297126054764
buckets,2,32,12288,12288,37.774670869112015
buckets,2,33,3072,4096,26.19802951812744
buckets,2,34,16384,16384,41.837312281131744
buckets,2,35,12288,12288,39.5529605448246
buckets,2,36,3072,4096,25.49736388027668
buckets,2,37,16384,16384,45.30894011259079
buckets,2,38,12288,12288,36.80587559938431
buckets,2,39,3072,4096,26.735244318842888
buckets,2,40,16384,16384,41.574545204639435
